"","...1","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"96",138,10,5,2,2,7,1,3,6,6,58,1,0.0602638274431229,1,0.444669157266617,1,9
"97",139,4,1,2,0,7,3,2,7,6,76.6666641235352,0,1.60190951824188,1,-0.833625435829163,0,3
"98",140,1,2,1,1,7,2,1,0,0,60.3333320617676,0,0.252969533205032,1,-0.194478139281273,0,4
"99",142,3,4,5,2,4,2,2,1,2,65.3333358764648,0,0.831086695194244,1,0.604456007480621,1,11
"100",143,8,4,0,0,6,2,2,7,7,72,1,0.831086695194244,1,0.604456007480621,1,4
"101",145,35,5,2,8,7,2,2,7,5,76.5,0,-0.325147598981857,0,0.284882336854935,1,15
"102",148,57,6,0,2,4,1,2,6,5,77.6666641235352,1,-1.28867614269257,0,0.444669157266617,1,8
"103",153,15,3,2,2,5,2,3,0,0,64.3333358764648,0,1.02379238605499,1,-0.194478139281273,0,7
"104",154,9,4,2,1,4,2,2,6,6,45,1,-0.517853319644928,0,0.125095501542091,1,7
"105",155,4,5,0,0,6,1,3,2,2,80,1,0.0602638274431229,1,0.924029648303986,1,5
"106",156,4,5,1,0,7,1,2,6,6,77,1,2.18002653121948,1,0.764242827892303,1,6
"107",158,8,6,0,0,4,3,2,6,6,55.3333320617676,1,-0.325147598981857,0,0.764242827892303,1,6
"108",159,3,3,0,2,3,2,1,8,0,58.5,0,-0.517853319644928,0,0.284882336854935,1,5
"109",160,4,1,0,0,6,3,2,7,6,84.75,1,-0.710559010505676,0,-0.514051795005798,0,1
"110",163,16,5,5,5,6,1,2,2,2,61.5,0,-0.710559010505676,0,-0.194478139281273,0,15
"111",165,4,4,5,5,6,2,3,8,5,59,1,-0.517853319644928,0,0.444669157266617,1,14
"112",166,4,5,0,1,5,2,1,5,5,29,0,-0.903264701366425,0,-0.0346913151443005,0,6
"113",167,8,4,2,1,7,2,1,7,7,66,0,0.638380944728851,1,0.284882336854935,1,7
"114",169,2,3,2,2,2,1,2,7,2,77.6666641235352,0,0.252969533205032,1,-0.833625435829163,0,7
"115",170,2,2,0,0,3,3,2,2,3,80.5,1,-0.517853319644928,0,0.604456007480621,1,2
"116",171,4,5,5,2,7,0,1,6,1,63,1,-0.132441878318787,0,-0.354264974594116,0,12
"117",172,9,1,2,5,5,2,3,6,5,79.3333358764648,0,-0.132441878318787,0,0.764242827892303,1,8
"118",174,2,4,2,2,6,1,2,7,6,61,1,0.638380944728851,1,-0.833625435829163,0,8
"119",176,22,5,8,8,2,1,2,1,1,75.3333358764648,0,-0.903264701366425,0,-0.514051795005798,0,21
"120",177,2,3,0,1,6,1,1,6,2,51.6666679382324,1,-0.903264701366425,0,-0.514051795005798,0,4
"121",178,30,3,8,2,7,2,2,7,7,74,1,1.02379238605499,1,0.764242827892303,1,13
"122",179,2,4,1,1,5,0,1,0,2,61.3333320617676,0,0.831086695194244,1,-0.0346913151443005,0,6
"123",181,4,2,1,0,7,3,3,0,3,74,1,-0.325147598981857,0,0.284882336854935,1,3
"124",182,15,5,0,2,7,2,2,6,6,80.5,1,0.445675253868103,1,-0.67383861541748,0,7
"125",184,6,2,2,0,7,2,2,6,6,53,0,0.445675253868103,1,-0.993412256240845,0,4
"126",185,18,4,2,2,4,3,1,2,5,57,1,-0.903264701366425,0,0.444669157266617,1,8
"127",187,6,4,0,1,5,2,3,6,6,79,0,0.0602638274431229,1,-0.67383861541748,0,5
"128",190,6,2,0,1,5,2,1,0,5,68.75,0,0.445675253868103,1,0.125095501542091,1,3
"129",191,6,5,2,2,7,1,3,6,5,60,0,-0.132441878318787,0,-0.0346913151443005,0,9
"130",192,12,4,0,1,7,2,3,5,5,68,0,0.638380944728851,1,-0.354264974594116,0,5
"131",193,5,3,1,0,4,2,2,6,6,61.5,0,-0.517853319644928,0,0.444669157266617,1,4
"132",194,4,4,0,0,6,3,2,6,6,75,1,1.79461526870728,1,-0.833625435829163,0,4
"133",195,6,4,1,2,6,0,2,1,1,71,1,0.0602638274431229,1,0.125095501542091,1,7
"134",196,21,3,1,1,4,2,2,7,6,83,1,0.638380944728851,1,-0.514051795005798,0,5
"135",197,4,1,0,0,6,2,2,6,5,58,1,-2.63761615753174,0,-0.514051795005798,0,1
"136",199,4,4,2,2,7,1,2,7,6,78.3333358764648,1,-0.517853319644928,0,0.444669157266617,1,8
"137",200,4,3,8,5,4,2,1,2,2,83,0,-0.325147598981857,0,0.444669157266617,1,16
"138",203,7,5,1,0,5,2,3,6,6,60.5,0,-0.132441878318787,0,0.284882336854935,1,6
"139",204,10,3,2,0,7,3,3,7,7,67.5,0,1.02379238605499,1,-0.0346913151443005,0,5
"140",205,8,4,0,0,5,2,3,2,2,70,0,-0.325147598981857,0,-0.354264974594116,0,4
"141",206,3,4,1,2,3,2,2,2,4,72.3333358764648,0,-0.710559010505676,0,0.764242827892303,1,7
"142",207,3,3,1,1,6,1,1,6,6,81,0,-0.517853319644928,0,0.764242827892303,1,5
"143",210,3,4,0,1,7,2,3,6,6,63,1,1.02379238605499,1,0.444669157266617,1,5
"144",212,10,4,2,0,2,1,2,6,7,70,1,0.0602638274431229,1,-0.514051795005798,0,6
"145",213,10,4,5,2,7,1,0,5,5,77,0,-0.325147598981857,0,0.284882336854935,1,11
"146",214,10,4,1,0,6,0,3,2,2,71,0,-0.325147598981857,0,-0.833625435829163,0,5
"147",215,50,5,2,0,7,1,3,6,7,93,0,0.445675253868103,1,-0.833625435829163,0,7
"148",216,7,3,1,2,5,1,2,8,8,38,0,-0.903264701366425,0,0.444669157266617,1,6
